"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241","test_homepage_opens[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","4646","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","330","test_buy_ticket_link[chromium]","tests","2026-08-12","passed","2026-08-12","","test_links_homepage","",""
"","363","test_footer_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","214","test_homepage_main_content[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","693","test_navigation_logo_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","688","test_navigation_contacts_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","1252","test_header_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","1120","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","216","test_contact_form_is_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","641","test_whatsapp_link[chromium]","tests","2026-08-12","passed","2026-08-12","","test_links_homepage","",""
"","1195","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","889","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
