"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","test_repertoire_link[chromium]","tests","2026-08-17","passed","2026-08-17","","test_links_homepage","",""
"","1431","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
"","738","test_whatsapp_link[chromium]","tests","2026-08-17","passed","2026-08-17","","test_links_homepage","",""
"","441","test_phone_link[chromium]","tests","2026-08-17","passed","2026-08-17","","test_links_homepage","",""
"","332","test_buy_ticket_link[chromium]","tests","2026-08-17","passed","2026-08-17","","test_links_homepage","",""
"","2911","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","993","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","977","test_header_visible[chromium]","tests","2026-08-17","passed","2026-08-17","","test_homepage_visible_elements","",""
"","243","test_youtube_link[chromium]","tests","2026-08-17","passed","2026-08-17","","test_links_homepage","",""
"","176","test_contact_form_is_visible[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","673","test_navigation_logo_header[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
"","743","test_navigation_riders_page_footer[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
"","1698","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
"","285","test_page_ru_opens[chromium]","tests","2026-08-17","passed","2026-08-17","","test_homepage_visible_elements","",""
"","424","test_footer_visible[chromium]","tests","2026-08-17","passed","2026-08-17","","test_homepage_visible_elements","",""
"","203","test_page_ru_main_content[chromium]","tests","2026-08-17","passed","2026-08-17","","test_homepage_visible_elements","",""
"","823","test_navigation_logo_footer[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
"","769","test_navigation_contacts_header[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
"","1373","test_navigation_whatsapp_button_footer[chromium]","tests","2026-08-17","passed","2026-08-17","","test_navigation","",""
