"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","test_navigation_logo_footer[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","392","test_contact_form_empty_with_submit_button[chromium]","tests","2026-09-01","passed","2026-09-01","","test_contact_form","",""
"","1175","test_navigation_whatsapp_button_footer[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","424","test_navigation_riders_page_footer[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","221","test_whatsapp_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","61","test_contact_form_is_visible[chromium]","tests","2026-09-01","passed","2026-09-01","","test_contact_form","",""
"","265","test_header_visible[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","726","test_navigation_buy_ticket_button_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","114","test_page_ru_opens[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","138","test_buy_ticket_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","108","test_page_ru_main_content[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","121","test_youtube_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","329","test_navigation_logo_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","224","test_phone_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","2345","test_send_full_valid_data_contact_form[chromium]","tests","2026-09-01","passed","2026-09-01","","test_contact_form","",""
"","282","test_navigation_contacts_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","111","test_repertoire_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","184","test_footer_visible[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","763","test_navigation_whatsapp_button_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
