"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","618","test_navigation_riders_page_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","459","test_phone_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","205","test_contact_form_is_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","1060","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","203","test_youtube_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","202","test_page_ru_opens[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","1389","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","958","test_header_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","1057","test_navigation_whatsapp_button_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","609","test_whatsapp_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","298","test_footer_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","744","test_navigation_logo_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","1058","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","292","test_buy_ticket_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","2528","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","622","test_navigation_logo_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","261","test_page_ru_main_content[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","223","test_repertoire_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","578","test_navigation_contacts_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
