"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","test_header_visible[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","96","test_page_ru_opens[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","31332","test_send_full_valid_data_contact_form[chromium]","tests","2026-09-01","broken","2026-09-01","","test_contact_form","",""
"","105","test_page_ru_main_content[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","816","test_navigation_whatsapp_button_footer[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","298","test_navigation_logo_footer[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","166","test_phone_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","871","test_navigation_whatsapp_button_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","110","test_buy_ticket_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","259","test_navigation_riders_page_footer[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","490","test_contact_form_empty_with_submit_button[chromium]","tests","2026-09-01","passed","2026-09-01","","test_contact_form","",""
"","219","test_whatsapp_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","354","test_navigation_logo_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","126","test_youtube_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","140","test_footer_visible[chromium]","tests","2026-09-01","passed","2026-09-01","","test_homepage_visible_elements","",""
"","93","test_repertoire_link[chromium]","tests","2026-09-01","passed","2026-09-01","","test_links_homepage","",""
"","70","test_contact_form_is_visible[chromium]","tests","2026-09-01","passed","2026-09-01","","test_contact_form","",""
"","1021","test_navigation_buy_ticket_button_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","321","test_navigation_contacts_header[chromium]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
