"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","362","test_footer_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","3168","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","307","test_buy_ticket_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","204","test_repertoire_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","986","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","800","test_header_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","199","test_contact_form_is_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","755","test_navigation_logo_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","686","test_navigation_contacts_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","698","test_whatsapp_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","701","test_navigation_riders_page_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","599","test_navigation_logo_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","235","test_page_ru_opens[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","415","test_phone_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","224","test_youtube_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","1223","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","191","test_page_ru_main_content[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","1371","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","2550","test_navigation_whatsapp_button_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
