"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","676","test_navigation_contacts_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","1421","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","269","test_buy_ticket_link[chromium]","tests","2026-08-12","passed","2026-08-12","","test_links_homepage","",""
"","704","test_header_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","184","test_homepage_opens[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","2913","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","217","test_contact_form_is_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","667","test_navigation_logo_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","214","test_homepage_main_content[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","316","test_footer_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","647","test_whatsapp_link[chromium]","tests","2026-08-12","passed","2026-08-12","","test_links_homepage","",""
"","944","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","1055","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
